statistic_id,unit,start,state,sum
sensor:water_usage,m³,20.05.2025 00:00,1.01,82.38
sensor:water_usage,m³,21.05.2025 00:00,1.76,84.14
sensor:water_usage,m³,22.05.2025 00:00,1.02,85.16
sensor:water_usage,m³,23.05.2025 00:00,1.89,87.05
sensor:water_usage,m³,24.05.2025 00:00,1.21,88.26
sensor:water_usage,m³,25.05.2025 00:00,1.12,89.38
sensor:water_usage,m³,26.05.2025 00:00,2.67,92.05
sensor:water_usage,m³,27.05.2025 00:00,0.69,92.74
sensor:water_usage,m³,28.05.2025 00:00,0.88,93.62
sensor:water_usage,m³,29.05.2025 00:00,1.2,94.82
sensor:water_usage,m³,30.05.2025 00:00,0.96,95.78
sensor:water_usage,m³,31.05.2025 00:00,1.03,96.81
sensor:water_usage,m³,01.06.2025 00:00,1.9,98.71
sensor:water_usage,m³,02.06.2025 00:00,1.21,99.92
sensor:water_usage,m³,03.06.2025 00:00,1.02,100.94
sensor:water_usage,m³,04.06.2025 00:00,1.06,102
sensor:water_usage,m³,05.06.2025 00:00,1.7,103.7
sensor:water_usage,m³,06.06.2025 00:00,1.02,104.72
sensor:water_usage,m³,07.06.2025 00:00,0.92,105.64
sensor:water_usage,m³,08.06.2025 00:00,1.28,106.92
sensor:water_usage,m³,09.06.2025 00:00,1.1,108.02
sensor:water_usage,m³,10.06.2025 00:00,1.65,109.67
